# n_events=50000
neuron_index,xi,sum_edep_MeV,mean_edep_keV_per_event,primary_hit_count,primary_hit_fraction
0,0,2.49981,0.0499963,18,0.00036
1,0.01,2.2722,0.045444,18,0.00036
2,0.02,2.43704,0.0487409,20,0.0004
3,0.03,2.21132,0.0442265,15,0.0003
4,0.04,1.46289,0.0292579,12,0.00024
5,0.05,2.16712,0.0433424,17,0.00034
6,0.06,2.85022,0.0570044,20,0.0004
7,0.07,2.53804,0.0507609,19,0.00038
8,0.08,1.78652,0.0357304,16,0.00032
9,0.09,2.13217,0.0426435,16,0.00032
10,0.1,2.35517,0.0471033,19,0.00038
11,0.11,1.85587,0.0371175,12,0.00024
12,0.12,1.08026,0.0216051,8,0.00016
13,0.13,3.25072,0.0650145,23,0.00046
14,0.14,2.86041,0.0572081,20,0.0004
15,0.15,2.90737,0.0581474,21,0.00042
16,0.16,2.54281,0.0508563,18,0.00036
17,0.17,2.36378,0.0472755,16,0.00032
18,0.18,1.58071,0.0316143,11,0.00022
19,0.19,3.77332,0.0754664,28,0.00056
20,0.2,2.38609,0.0477218,20,0.0004
21,0.21,1.94221,0.0388441,17,0.00034
22,0.22,2.03613,0.0407226,14,0.00028
23,0.23,2.70585,0.054117,22,0.00044
24,0.24,4.40671,0.0881341,23,0.00046
25,0.25,1.71666,0.0343333,14,0.00028
26,0.26,2.56698,0.0513395,17,0.00034
27,0.27,2.46487,0.0492975,14,0.00028
28,0.28,1.49684,0.0299368,12,0.00024
29,0.29,2.21662,0.0443323,19,0.00038
30,0.3,1.8571,0.0371421,15,0.0003
31,0.31,1.69307,0.0338614,13,0.00026
32,0.32,2.11046,0.0422092,14,0.00028
33,0.33,1.46892,0.0293785,9,0.00018
34,0.34,3.2636,0.065272,24,0.00048
35,0.35,1.80496,0.0360992,12,0.00024
36,0.36,2.73037,0.0546074,17,0.00034
37,0.37,2.13422,0.0426845,14,0.00028
38,0.38,1.87451,0.0374902,17,0.00034
39,0.39,1.67397,0.0334793,15,0.0003
40,0.4,2.57843,0.0515686,19,0.00038
41,0.41,1.80914,0.0361827,12,0.00024
42,0.42,2.23548,0.0447096,16,0.00032
43,0.43,1.15872,0.0231743,7,0.00014
44,0.44,1.33001,0.0266002,7,0.00014
45,0.45,1.09085,0.021817,9,0.00018
46,0.46,2.45213,0.0490425,17,0.00034
47,0.47,2.01918,0.0403835,17,0.00034
48,0.48,1.77902,0.0355804,13,0.00026
49,0.49,3.11625,0.0623249,23,0.00046
50,0.5,3.0841,0.0616819,27,0.00054
51,0.51,1.97201,0.0394403,14,0.00028
52,0.52,1.68463,0.0336926,13,0.00026
53,0.53,1.75338,0.0350677,14,0.00028
54,0.54,2.91886,0.0583772,18,0.00036
55,0.55,1.73449,0.0346898,14,0.00028
56,0.56,2.98757,0.0597515,21,0.00042
57,0.57,1.89124,0.0378248,14,0.00028
58,0.58,1.28749,0.0257498,10,0.0002
59,0.59,2.49506,0.0499011,19,0.00038
60,0.6,2.63768,0.0527535,19,0.00038
61,0.61,2.74095,0.054819,18,0.00036
62,0.62,1.90389,0.0380778,17,0.00034
63,0.63,2.39213,0.0478427,19,0.00038
64,0.64,2.16176,0.0432352,20,0.0004
65,0.65,2.23356,0.0446712,18,0.00036
66,0.66,2.10837,0.0421674,15,0.0003
67,0.67,12.057,0.241141,9,0.00018
68,0.68,3.0999,0.0619979,22,0.00044
69,0.69,2.20732,0.0441464,15,0.0003
70,0.7,1.53551,0.0307101,10,0.0002
71,0.71,1.7688,0.0353759,14,0.00028
72,0.72,2.27231,0.0454463,17,0.00034
73,0.73,1.44995,0.028999,11,0.00022
74,0.74,2.94939,0.0589878,20,0.0004
75,0.75,3.24394,0.0648787,22,0.00044
76,0.76,2.80506,0.0561012,16,0.00032
77,0.77,2.38694,0.0477388,19,0.00038
78,0.78,1.98457,0.0396913,16,0.00032
79,0.79,2.98739,0.0597478,23,0.00046
80,0.8,2.38555,0.0477111,18,0.00036
81,0.81,2.27913,0.0455825,16,0.00032
82,0.82,2.77043,0.0554086,17,0.00034
83,0.83,2.36688,0.0473376,15,0.0003
84,0.84,2.00949,0.0401897,16,0.00032
85,0.85,2.43763,0.0487525,15,0.0003
86,0.86,3.10483,0.0620966,19,0.00038
87,0.87,3.89013,0.0778027,25,0.0005
88,0.88,1.93295,0.038659,14,0.00028
89,0.89,2.66864,0.0533728,19,0.00038
90,0.9,2.5638,0.0512761,19,0.00038
91,0.91,4.15995,0.083199,26,0.00052
92,0.92,1.23899,0.0247798,9,0.00018
93,0.93,2.14135,0.0428271,16,0.00032
94,0.94,1.84866,0.0369733,16,0.00032
95,0.95,3.62604,0.0725207,23,0.00046
96,0.96,2.06855,0.0413709,15,0.0003
97,0.97,1.69207,0.0338415,12,0.00024
98,0.98,2.78843,0.0557686,18,0.00036
99,0.99,2.17366,0.0434732,18,0.00036
