# n_events=50000
neuron_index,xi,sum_edep_MeV,mean_edep_keV_per_event,primary_hit_count,primary_hit_fraction
0,0,0.0919561,0.00183912,19,0.00038
1,0.01,0.139763,0.00279526,17,0.00034
2,0.02,0.168217,0.00336434,16,0.00032
3,0.03,0.0554578,0.00110916,12,0.00024
4,0.04,0.15027,0.00300541,18,0.00036
5,0.05,0.143376,0.00286753,21,0.00042
6,0.06,0.0900285,0.00180057,14,0.00028
7,0.07,0.121413,0.00242825,20,0.0004
8,0.08,0.140015,0.0028003,22,0.00044
9,0.09,0.082854,0.00165708,9,0.00018
10,0.1,0.0957341,0.00191468,18,0.00036
11,0.11,0.0993827,0.00198765,15,0.0003
12,0.12,0.128613,0.00257225,21,0.00042
13,0.13,0.108482,0.00216965,14,0.00028
14,0.14,0.110422,0.00220845,20,0.0004
15,0.15,0.0803014,0.00160603,13,0.00026
16,0.16,0.114035,0.00228069,16,0.00032
17,0.17,0.0807887,0.00161577,13,0.00026
18,0.18,0.136077,0.00272155,19,0.00038
19,0.19,0.0693747,0.00138749,13,0.00026
20,0.2,0.0987055,0.00197411,14,0.00028
21,0.21,0.136367,0.00272734,10,0.0002
22,0.22,0.157371,0.00314742,24,0.00048
23,0.23,0.118593,0.00237186,18,0.00036
24,0.24,0.0933535,0.00186707,18,0.00036
25,0.25,0.0710478,0.00142096,11,0.00022
26,0.26,0.1117,0.00223399,21,0.00042
27,0.27,0.081772,0.00163544,14,0.00028
28,0.28,0.102622,0.00205245,17,0.00034
29,0.29,0.167665,0.0033533,21,0.00042
30,0.3,0.122166,0.00244331,17,0.00034
31,0.31,0.0609826,0.00121965,11,0.00022
32,0.32,0.167016,0.00334032,22,0.00044
33,0.33,0.16318,0.00326361,25,0.0005
34,0.34,0.269405,0.0053881,24,0.00048
35,0.35,0.163142,0.00326285,20,0.0004
36,0.36,0.10902,0.00218041,18,0.00036
37,0.37,0.0744152,0.0014883,11,0.00022
38,0.38,0.062236,0.00124472,15,0.0003
39,0.39,0.11776,0.00235521,19,0.00038
40,0.4,0.127604,0.00255209,19,0.00038
41,0.41,0.220756,0.00441512,11,0.00022
42,0.42,0.0590573,0.00118115,11,0.00022
43,0.43,0.101266,0.00202533,14,0.00028
44,0.44,0.118517,0.00237034,16,0.00032
45,0.45,0.145344,0.00290689,17,0.00034
46,0.46,0.091708,0.00183416,13,0.00026
47,0.47,0.173903,0.00347805,19,0.00038
48,0.48,0.0899085,0.00179817,15,0.0003
49,0.49,0.109096,0.00218192,19,0.00038
50,0.5,0.119104,0.00238207,18,0.00036
51,0.51,0.371741,0.00743483,14,0.00028
52,0.52,0.0886823,0.00177365,16,0.00032
53,0.53,0.105907,0.00211814,18,0.00036
54,0.54,0.0537988,0.00107598,11,0.00022
55,0.55,0.101416,0.00202832,14,0.00028
56,0.56,0.115525,0.0023105,18,0.00036
57,0.57,0.119047,0.00238095,17,0.00034
58,0.58,0.190188,0.00380375,14,0.00028
59,0.59,0.0484433,0.000968866,10,0.0002
60,0.6,0.0976473,0.00195295,19,0.00038
61,0.61,0.101838,0.00203677,16,0.00032
62,0.62,0.156284,0.00312567,19,0.00038
63,0.63,0.0971082,0.00194216,13,0.00026
64,0.64,0.173482,0.00346964,21,0.00042
65,0.65,0.113523,0.00227045,15,0.0003
66,0.66,0.0778993,0.00155799,14,0.00028
67,0.67,0.120312,0.00240624,20,0.0004
68,0.68,0.106134,0.00212268,20,0.0004
69,0.69,0.111606,0.00223212,21,0.00042
70,0.7,0.205097,0.00410195,19,0.00038
71,0.71,0.187263,0.00374526,19,0.00038
72,0.72,0.131708,0.00263417,15,0.0003
73,0.73,0.104592,0.00209185,17,0.00034
74,0.74,0.0928747,0.00185749,16,0.00032
75,0.75,0.155352,0.00310704,21,0.00042
76,0.76,0.331889,0.00663777,16,0.00032
77,0.77,0.156541,0.00313081,17,0.00034
78,0.78,0.11587,0.00231741,17,0.00034
79,0.79,0.137876,0.00275752,17,0.00034
80,0.8,0.0930558,0.00186112,19,0.00038
81,0.81,0.112163,0.00224325,19,0.00038
82,0.82,0.0979203,0.00195841,18,0.00036
83,0.83,0.128785,0.00257571,16,0.00032
84,0.84,0.0872622,0.00174524,15,0.0003
85,0.85,0.092238,0.00184476,16,0.00032
86,0.86,0.0984779,0.00196956,16,0.00032
87,0.87,0.108183,0.00216365,15,0.0003
88,0.88,0.0862404,0.00172481,17,0.00034
89,0.89,0.0781449,0.0015629,11,0.00022
90,0.9,0.225465,0.0045093,23,0.00046
91,0.91,0.176713,0.00353425,14,0.00028
92,0.92,0.100656,0.00201311,19,0.00038
93,0.93,0.151072,0.00302144,25,0.0005
94,0.94,0.126147,0.00252294,20,0.0004
95,0.95,0.138418,0.00276835,18,0.00036
96,0.96,0.10703,0.00214059,17,0.00034
97,0.97,0.135624,0.00271248,19,0.00038
98,0.98,0.217235,0.0043447,22,0.00044
99,0.99,0.0884552,0.0017691,14,0.00028
