# n_events=500000
neuron_index,xi,sum_edep_MeV,mean_edep_keV_per_event,primary_hit_count,primary_hit_fraction,dose_averaged_LET_keV_per_um
0,0,1.60974,0.00321948,1,2e-06,81.1538
1,0.01,0,0,0,0,0
2,0.02,2.14227,0.00428453,1,2e-06,127.541
3,0.03,0,0,0,0,0
4,0.04,0.0342438,6.84877e-05,0,0,1.72947
5,0.05,1.49028,0.00298057,1,2e-06,75.203
6,0.06,0.0320717,6.41435e-05,0,0,2.73095
7,0.07,0.0203954,4.07908e-05,0,0,2.12201
8,0.08,1.60013,0.00320026,2,4e-06,108.131
9,0.09,1.21377,0.00242755,1,2e-06,78.8503
10,0.1,1.44606,0.00289213,1,2e-06,79.7531
11,0.11,3.65888,0.00731777,3,6e-06,97.0703
12,0.12,1.88136,0.00376272,1,2e-06,113.15
13,0.13,1.29942,0.00259885,1,2e-06,89.9557
14,0.14,0.900132,0.00180026,1,2e-06,81.0324
15,0.15,2.84482,0.00568964,2,4e-06,94.1094
16,0.16,0.662636,0.00132527,1,2e-06,113.573
17,0.17,0.973977,0.00194795,1,2e-06,135.089
18,0.18,2.87428,0.00574855,2,4e-06,105.773
19,0.19,1.92482,0.00384963,1,2e-06,95.9947
20,0.2,1.32555,0.0026511,1,2e-06,79.1605
21,0.21,1.66478,0.00332956,1,2e-06,102.367
22,0.22,0.0471873,9.43745e-05,0,0,2.93719
23,0.23,1.76725,0.00353449,2,4e-06,94.355
24,0.24,0.0137081,2.74161e-05,0,0,1.03673
25,0.25,2.97517,0.00595033,2,4e-06,105.728
26,0.26,2.52596,0.00505193,1,2e-06,132.01
27,0.27,3.02161,0.00604323,2,4e-06,94.9376
28,0.28,0.0316986,6.33971e-05,0,0,1.94967
29,0.29,4.16602,0.00833203,3,6e-06,89.9763
30,0.3,1.42284,0.00284568,1,2e-06,117.002
31,0.31,2.3416,0.00468321,2,4e-06,94.1665
32,0.32,2.32367,0.00464734,2,4e-06,108.522
33,0.33,0,0,0,0,0
34,0.34,4.6026,0.00920521,3,6e-06,102.46
35,0.35,0.0486371,9.72742e-05,0,0,1.73974
36,0.36,1.84759,0.00369519,1,2e-06,91.1145
37,0.37,1.33325,0.00266651,1,2e-06,109.035
38,0.38,0.0124804,2.49608e-05,0,0,1.24272
39,0.39,3.61654,0.00723308,3,6e-06,103.803
40,0.4,1.77462,0.00354924,1,2e-06,77.7607
41,0.41,0.916922,0.00183384,1,2e-06,84.1685
42,0.42,1.99437,0.00398874,1,2e-06,108.925
43,0.43,4.59302,0.00918604,3,6e-06,92.8673
44,0.44,0,0,0,0,0
45,0.45,0,0,0,0,0
46,0.46,0,0,0,0,0
47,0.47,3.89328,0.00778657,2,4e-06,115.329
48,0.48,3.57475,0.0071495,2,4e-06,181.33
49,0.49,0,0,0,0,0
50,0.5,3.89684,0.00779367,3,6e-06,110.615
51,0.51,0.040013,8.00259e-05,0,0,3.15575
52,0.52,0.0287268,5.74537e-05,0,0,2.22772
53,0.53,0.753403,0.00150681,1,2e-06,119.77
54,0.54,0.0528141,0.000105628,0,0,3.84962
55,0.55,2.22986,0.00445971,2,4e-06,92.2445
56,0.56,2.13692,0.00427383,1,2e-06,70.7254
57,0.57,0,0,0,0,0
58,0.58,0,0,0,0,0
59,0.59,2.68108,0.00536215,2,4e-06,161.867
60,0.6,0.463223,0.000926445,1,2e-06,66.6539
61,0.61,2.31797,0.00463594,2,4e-06,109.42
62,0.62,1.7745,0.003549,1,2e-06,94.7845
63,0.63,0,0,0,0,0
64,0.64,0.081245,0.00016249,0,0,18.3416
65,0.65,2.33276,0.00466551,1,2e-06,79.8881
66,0.66,1.43019,0.00286038,1,2e-06,89.7349
67,0.67,1.00885,0.0020177,1,2e-06,88.7869
68,0.68,4.52236,0.00904472,3,6e-06,105.872
69,0.69,0.920099,0.0018402,0,0,52.9274
70,0.7,1.1553,0.00231061,1,2e-06,91.0901
71,0.71,3.53617,0.00707235,2,4e-06,99.3031
72,0.72,0.471992,0.000943983,1,2e-06,90.5749
73,0.73,3.01009,0.00602018,2,4e-06,93.6689
74,0.74,0.797103,0.00159421,1,2e-06,66.4251
75,0.75,0.256273,0.000512546,0,0,26.8976
76,0.76,0,0,0,0,0
77,0.77,0.967177,0.00193435,1,2e-06,132.372
78,0.78,1.60569,0.00321137,1,2e-06,85.7963
79,0.79,1.6789,0.00335779,1,2e-06,121.729
80,0.8,2.57894,0.00515787,3,6e-06,91.1807
81,0.81,3.1116,0.00622321,2,4e-06,91.4775
82,0.82,4.96007,0.00992015,2,4e-06,138.694
83,0.83,2.88074,0.00576149,2,4e-06,104.596
84,0.84,0,0,0,0,0
85,0.85,2.0461,0.0040922,2,4e-06,90.6192
86,0.86,4.03909,0.00807819,3,6e-06,92.9635
87,0.87,0.526372,0.00105274,1,2e-06,86.8975
88,0.88,1.92357,0.00384713,1,2e-06,116.287
89,0.89,2.43588,0.00487175,2,4e-06,102.868
90,0.9,1.61528,0.00323056,2,4e-06,107.944
91,0.91,0.536355,0.00107271,1,2e-06,80.3984
92,0.92,4.54141,0.00908282,4,8e-06,96.2324
93,0.93,0.322422,0.000644844,0,0,24.0444
94,0.94,0.0142666,2.85332e-05,0,0,0.796277
95,0.95,0.0018981,3.7962e-06,0,0,0.264292
96,0.96,1.04104,0.00208207,1,2e-06,170.68
97,0.97,2.70744,0.00541488,2,4e-06,81.503
98,0.98,3.07554,0.00615108,2,4e-06,91.408
99,0.99,3.35556,0.00671111,2,4e-06,104.361
