# n_events=500000
neuron_index,xi,sum_edep_MeV,mean_edep_keV_per_event,primary_hit_count,primary_hit_fraction,dose_averaged_LET_keV_per_um
0,0,0,0,0,0,0
1,0.01,0,0,0,0,0
2,0.02,0,0,0,0,0
3,0.03,0,0,0,0,0
4,0.04,0,0,0,0,0
5,0.05,0,0,0,0,0
6,0.06,0,0,0,0,0
7,0.07,0,0,0,0,0
8,0.08,0,0,0,0,0
9,0.09,0,0,0,0,0
10,0.1,0.236484,0.000472967,2,4e-06,7.97955
11,0.11,0.0112275,2.2455e-05,1,2e-06,2.23496
12,0.12,0.0126016,2.52032e-05,1,2e-06,2.4406
13,0.13,0.0204973,4.09946e-05,1,2e-06,1.80642
14,0.14,0,0,0,0,0
15,0.15,0.011389,2.2778e-05,1,2e-06,2.18918
16,0.16,0.105237,0.000210473,1,2e-06,6.50837
17,0.17,0,0,0,0,0
18,0.18,0,0,0,0,0
19,0.19,0,0,0,0,0
20,0.2,0,0,0,0,0
21,0.21,0,0,0,0,0
22,0.22,0,0,0,0,0
23,0.23,0.0794252,0.00015885,1,2e-06,4.42113
24,0.24,0,0,0,0,0
25,0.25,0,0,0,0,0
26,0.26,0,0,0,0,0
27,0.27,0,0,0,0,0
28,0.28,0.05124,0.00010248,1,2e-06,3.36618
29,0.29,0,0,0,0,0
30,0.3,0,0,0,0,0
31,0.31,0.0316574,6.33149e-05,1,2e-06,1.99808
32,0.32,0,0,0,0,0
33,0.33,0,0,0,0,0
34,0.34,0,0,0,0,0
35,0.35,0.0486308,9.72616e-05,1,2e-06,3.48831
36,0.36,0,0,0,0,0
37,0.37,0,0,0,0,0
38,0.38,0,0,0,0,0
39,0.39,0.0317816,6.35632e-05,1,2e-06,4.83201
40,0.4,0.063066,0.000126132,1,2e-06,4.30531
41,0.41,0,0,0,0,0
42,0.42,0.0260726,5.21452e-05,1,2e-06,1.76342
43,0.43,0,0,0,0,0
44,0.44,0,0,0,0,0
45,0.45,0,0,0,0,0
46,0.46,0.0436605,8.7321e-05,1,2e-06,2.41025
47,0.47,0,0,0,0,0
48,0.48,0,0,0,0,0
49,0.49,0.100031,0.000200061,2,4e-06,3.36507
50,0.5,0,0,0,0,0
51,0.51,0,0,0,0,0
52,0.52,0,0,0,0,0
53,0.53,0.0214026,4.28051e-05,1,2e-06,2.10512
54,0.54,0,0,0,0,0
55,0.55,0,0,0,0,0
56,0.56,0,0,0,0,0
57,0.57,0,0,0,0,0
58,0.58,0,0,0,0,0
59,0.59,0.0157451,3.14901e-05,1,2e-06,2.40204
60,0.6,0,0,0,0,0
61,0.61,0.02845,5.69e-05,1,2e-06,2.06401
62,0.62,0,0,0,0,0
63,0.63,0,0,0,0,0
64,0.64,0,0,0,0,0
65,0.65,0.0565603,0.000113121,1,2e-06,3.01349
66,0.66,0.0187817,3.75634e-05,1,2e-06,1.39473
67,0.67,0,0,0,0,0
68,0.68,0,0,0,0,0
69,0.69,0,0,0,0,0
70,0.7,0.0887999,0.0001776,2,4e-06,3.35134
71,0.71,0.0649264,0.000129853,1,2e-06,3.52217
72,0.72,0.0211679,4.23359e-05,1,2e-06,1.18516
73,0.73,0,0,0,0,0
74,0.74,0.0284436,5.68872e-05,1,2e-06,1.45354
75,0.75,0.104991,0.000209983,2,4e-06,5.15439
76,0.76,0,0,0,0,0
77,0.77,0,0,0,0,0
78,0.78,0,0,0,0,0
79,0.79,0.0131636,2.63272e-05,1,2e-06,1.53537
80,0.8,0,0,0,0,0
81,0.81,0,0,0,0,0
82,0.82,0.0165479,3.30958e-05,1,2e-06,2.09905
83,0.83,0,0,0,0,0
84,0.84,0,0,0,0,0
85,0.85,0.039066,7.8132e-05,1,2e-06,2.5382
86,0.86,0,0,0,0,0
87,0.87,0,0,0,0,0
88,0.88,0,0,0,0,0
89,0.89,0,0,0,0,0
90,0.9,0,0,0,0,0
91,0.91,0.0416266,8.32531e-05,2,4e-06,2.18719
92,0.92,0,0,0,0,0
93,0.93,0.0280584,5.61168e-05,1,2e-06,1.59157
94,0.94,0,0,0,0,0
95,0.95,0.0724065,0.000144813,1,2e-06,7.4738
96,0.96,0,0,0,0,0
97,0.97,0,0,0,0,0
98,0.98,0,0,0,0,0
99,0.99,0,0,0,0,0
