slab_index,depth_mm,sum_edep_MeV
0,0.5,32647.8
1,1.5,33085
2,2.5,33052.3
3,3.5,33002.1
4,4.5,33090.1
5,5.5,32992.3
6,6.5,33147.2
7,7.5,32958.3
8,8.5,32987
9,9.5,33166.5
10,10.5,33002.1
11,11.5,33040.2
12,12.5,33232.2
13,13.5,33089.8
14,14.5,32973.8
15,15.5,32785.3
16,16.5,32757.7
17,17.5,32896.5
18,18.5,32913.2
19,19.5,33065.9
20,20.5,32783.5
21,21.5,32636.9
22,22.5,33137.5
23,23.5,32915.2
24,24.5,32664.7
25,25.5,32845.5
26,26.5,32878.8
27,27.5,32806
28,28.5,32841.7
29,29.5,32445.7
30,30.5,32570.2
31,31.5,32263.9
32,32.5,32631.6
33,33.5,32272.3
34,34.5,32159.8
35,35.5,32280.4
36,36.5,32415.8
37,37.5,32555
38,38.5,32278.7
39,39.5,32643.9
40,40.5,32485.4
41,41.5,32390.3
42,42.5,32398.7
43,43.5,32498
44,44.5,32391.8
45,45.5,32119.9
46,46.5,32145
47,47.5,32131.6
48,48.5,32127.1
49,49.5,32121.2
50,50.5,31908.6
51,51.5,31967.7
52,52.5,32573.4
53,53.5,32094.2
54,54.5,31981.5
55,55.5,31795.6
56,56.5,31795.7
57,57.5,31739.3
58,58.5,31557.4
59,59.5,31618.6
60,60.5,31663.2
61,61.5,31775.1
62,62.5,31334.6
63,63.5,31524.3
64,64.5,31264.8
65,65.5,31376.7
66,66.5,31580.9
67,67.5,31395.6
68,68.5,31514.6
69,69.5,31127.7
70,70.5,31296.6
71,71.5,31469.6
72,72.5,31277.5
73,73.5,31410.8
74,74.5,31160
75,75.5,31166.5
76,76.5,31164.2
77,77.5,30846.1
78,78.5,31003.3
79,79.5,31322.9
80,80.5,31158.4
81,81.5,30979.2
82,82.5,31652.6
83,83.5,31040.9
84,84.5,30884.4
85,85.5,31216.5
86,86.5,30831.4
87,87.5,30801.1
88,88.5,30709.6
89,89.5,31128.3
90,90.5,31011.8
91,91.5,30880.1
92,92.5,30614.1
93,93.5,30540.8
94,94.5,30636.5
95,95.5,30925
96,96.5,30793.1
97,97.5,30664.5
98,98.5,30427.1
99,99.5,30503.6
100,100.5,30404.5
101,101.5,30588.1
102,102.5,30502.4
103,103.5,30575.1
104,104.5,30439
105,105.5,30730.5
106,106.5,30816.3
107,107.5,30936.1
108,108.5,30908.7
109,109.5,30716.1
110,110.5,30523
111,111.5,30489.3
112,112.5,30571.3
113,113.5,30610.6
114,114.5,30785.1
115,115.5,30542.6
116,116.5,30566.9
117,117.5,30548.6
118,118.5,30677.5
119,119.5,30687.2
120,120.5,30550.7
121,121.5,30335.2
122,122.5,30664.1
123,123.5,30586.8
124,124.5,30290.1
125,125.5,30826.4
126,126.5,30474.7
127,127.5,30246.5
128,128.5,30484.2
129,129.5,30430.8
130,130.5,30346.2
131,131.5,30355.9
132,132.5,30340.8
133,133.5,30383.6
134,134.5,30072.5
135,135.5,30296.9
136,136.5,30178.5
137,137.5,30396.4
138,138.5,30394.7
139,139.5,30497.1
140,140.5,30243.3
141,141.5,30029.9
142,142.5,30362
143,143.5,30382
144,144.5,30585.8
145,145.5,30370.7
146,146.5,30397.8
147,147.5,30191
148,148.5,30323
149,149.5,30631.1
150,150.5,30578.8
151,151.5,30470.7
152,152.5,30438.4
153,153.5,30521.7
154,154.5,30212
155,155.5,30796.6
156,156.5,30251.9
157,157.5,30644.6
158,158.5,30474
159,159.5,30210.5
160,160.5,30459.7
161,161.5,30466.8
162,162.5,30488
163,163.5,30428.9
164,164.5,30624.3
165,165.5,30627.1
166,166.5,30380.3
167,167.5,30670.2
168,168.5,30570.7
169,169.5,30404.2
170,170.5,30353.2
171,171.5,30446.3
172,172.5,30846.3
173,173.5,30539.3
174,174.5,30638
175,175.5,30596.2
176,176.5,30971.6
177,177.5,30540
178,178.5,30717.3
179,179.5,30902.5
180,180.5,31007.3
181,181.5,30873.9
182,182.5,30623.3
183,183.5,30803.9
184,184.5,30801.5
185,185.5,31276.5
186,186.5,31019.6
187,187.5,31073.1
188,188.5,31024.1
189,189.5,30948.6
190,190.5,31094.8
191,191.5,30957
192,192.5,31239.4
193,193.5,31200.5
194,194.5,31591.1
195,195.5,31281.9
196,196.5,31337.9
197,197.5,31551.5
198,198.5,32019.4
199,199.5,31569.1
200,200.5,31546
201,201.5,31777.8
202,202.5,32048.6
203,203.5,32053.9
204,204.5,32052.9
205,205.5,32338.5
206,206.5,32386.9
207,207.5,32294.8
208,208.5,32532.1
209,209.5,33080
210,210.5,32638
211,211.5,32958.4
212,212.5,32781.3
213,213.5,32683.9
214,214.5,32899.3
215,215.5,33213
216,216.5,33646
217,217.5,33348.5
218,218.5,33570.3
219,219.5,33665.5
220,220.5,33872.4
221,221.5,34121.6
222,222.5,34105.8
223,223.5,33603.5
224,224.5,33917.4
225,225.5,33976.1
226,226.5,33818
227,227.5,34261.7
228,228.5,34551.5
229,229.5,34930.2
230,230.5,35175.8
231,231.5,35424.9
232,232.5,35807.1
233,233.5,35719.1
234,234.5,35834.1
235,235.5,35817.8
236,236.5,36294.6
237,237.5,36807.4
238,238.5,36910.3
239,239.5,36549.7
240,240.5,37043.8
241,241.5,37654.3
242,242.5,37655.2
243,243.5,37791.9
244,244.5,38046.3
245,245.5,38453.2
246,246.5,38962.7
247,247.5,39318.5
248,248.5,39676.3
249,249.5,40827.5
250,250.5,40231.6
251,251.5,40303.2
252,252.5,41009
253,253.5,41684.1
254,254.5,41703.5
255,255.5,41848.8
256,256.5,41857
257,257.5,42391.7
258,258.5,42692.5
259,259.5,43008.6
260,260.5,44405.3
261,261.5,45368.9
262,262.5,45017
263,263.5,45600
264,264.5,46748.6
265,265.5,47678.1
266,266.5,49235.9
267,267.5,50582.7
268,268.5,52525
269,269.5,54826.5
270,270.5,57555.8
271,271.5,60464.1
272,272.5,65479.5
273,273.5,75098
274,274.5,92572.1
275,275.5,98329.1
276,276.5,64200.1
277,277.5,23558.3
278,278.5,14981.4
279,279.5,14129.6
280,280.5,13489.9
281,281.5,13943.5
282,282.5,13603.8
283,283.5,13722.5
284,284.5,13739.7
285,285.5,13921.9
286,286.5,14056
287,287.5,13530.5
288,288.5,12887.5
289,289.5,12620.3
290,290.5,12383.2
291,291.5,12395.4
292,292.5,12272.9
