# n_events=200000
neuron_index,xi,sum_edep_MeV,mean_edep_keV_per_event,primary_hit_count,primary_hit_fraction
0,0,0,0,0,0
1,0.01,0.544982,0.00272491,2,1e-05
2,0.02,0.286757,0.00143379,1,5e-06
3,0.03,0,0,0,0
4,0.04,0,0,0,0
5,0.05,0,0,0,0
6,0.06,0,0,0,0
7,0.07,0.283843,0.00141921,1,5e-06
8,0.08,0.357689,0.00178845,2,1e-05
9,0.09,0.0456941,0.000228471,1,5e-06
10,0.1,0.437288,0.00218644,1,5e-06
11,0.11,0.26452,0.0013226,1,5e-06
12,0.12,0,0,0,0
13,0.13,1.03453,0.00517266,3,1.5e-05
14,0.14,0.469649,0.00234825,1,5e-06
15,0.15,0.404585,0.00202293,1,5e-06
16,0.16,0.430091,0.00215045,1,5e-06
17,0.17,0.669331,0.00334666,2,1e-05
18,0.18,0.752345,0.00376173,2,1e-05
19,0.19,0.584352,0.00292176,1,5e-06
20,0.2,0.543142,0.00271571,2,1e-05
21,0.21,0.61675,0.00308375,2,1e-05
22,0.22,0.0733668,0.000366834,1,5e-06
23,0.23,0,0,0,0
24,0.24,0,0,0,0
25,0.25,0,0,0,0
26,0.26,0.324952,0.00162476,1,5e-06
27,0.27,0.548039,0.0027402,1,5e-06
28,0.28,0,0,0,0
29,0.29,0.851077,0.00425538,1,5e-06
30,0.3,0,0,0,0
31,0.31,0,0,0,0
32,0.32,0,0,0,0
33,0.33,0,0,0,0
34,0.34,0.311436,0.00155718,1,5e-06
35,0.35,0.401599,0.00200799,1,5e-06
36,0.36,0.180774,0.000903871,1,5e-06
37,0.37,0,0,0,0
38,0.38,0,0,0,0
39,0.39,0,0,0,0
40,0.4,0,0,0,0
41,0.41,0,0,0,0
42,0.42,0,0,0,0
43,0.43,0.620262,0.00310131,2,1e-05
44,0.44,0,0,0,0
45,0.45,0,0,0,0
46,0.46,1.23277,0.00616384,4,2e-05
47,0.47,0,0,0,0
48,0.48,0.432523,0.00216262,1,5e-06
49,0.49,0.278846,0.00139423,1,5e-06
50,0.5,0.559875,0.00279938,2,1e-05
51,0.51,0.502243,0.00251122,1,5e-06
52,0.52,0.534805,0.00267403,2,1e-05
53,0.53,0.342991,0.00171495,1,5e-06
54,0.54,0.331421,0.00165711,1,5e-06
55,0.55,0,0,0,0
56,0.56,0.0849184,0.000424592,1,5e-06
57,0.57,0,0,0,0
58,0.58,0.605488,0.00302744,2,1e-05
59,0.59,0.250781,0.0012539,1,5e-06
60,0.6,0.21381,0.00106905,1,5e-06
61,0.61,0.447256,0.00223628,1,5e-06
62,0.62,0,0,0,0
63,0.63,0,0,0,0
64,0.64,0.212984,0.00106492,1,5e-06
65,0.65,1.18968,0.00594841,4,2e-05
66,0.66,0.385798,0.00192899,1,5e-06
67,0.67,0,0,0,0
68,0.68,0,0,0,0
69,0.69,0.444004,0.00222002,1,5e-06
70,0.7,0,0,0,0
71,0.71,0,0,0,0
72,0.72,0,0,0,0
73,0.73,0.238838,0.00119419,1,5e-06
74,0.74,0,0,0,0
75,0.75,0,0,0,0
76,0.76,0.0568465,0.000284232,0,0
77,0.77,0.326342,0.00163171,1,5e-06
78,0.78,0.398666,0.00199333,1,5e-06
79,0.79,0.747497,0.00373748,2,1e-05
80,0.8,0.28126,0.0014063,1,5e-06
81,0.81,0.0360443,0.000180221,0,0
82,0.82,0,0,0,0
83,0.83,0.341845,0.00170923,2,1e-05
84,0.84,0,0,0,0
85,0.85,1.13783,0.00568913,3,1.5e-05
86,0.86,0.253214,0.00126607,1,5e-06
87,0.87,0,0,0,0
88,0.88,0.389666,0.00194833,1,5e-06
89,0.89,0,0,0,0
90,0.9,0,0,0,0
91,0.91,0.595249,0.00297625,1,5e-06
92,0.92,0.232353,0.00116177,1,5e-06
93,0.93,0.283249,0.00141624,1,5e-06
94,0.94,0.823942,0.00411971,2,1e-05
95,0.95,0.339575,0.00169787,1,5e-06
96,0.96,0,0,0,0
97,0.97,0,0,0,0
98,0.98,0,0,0,0
99,0.99,0,0,0,0
