# n_events=50000
neuron_index,xi,sum_edep_MeV,mean_edep_keV_per_event,primary_hit_count,primary_hit_fraction
0,0,0.339345,0.0067869,5,0.0001
1,0.01,0.0577533,0.00115507,2,4e-05
2,0.02,0.0114869,0.000229738,1,2e-05
3,0.03,0.0976091,0.00195218,2,4e-05
4,0.04,0.0813165,0.00162633,1,2e-05
5,0.05,0.24681,0.0049362,5,0.0001
6,0.06,0.0261271,0.000522541,1,2e-05
7,0.07,0.187838,0.00375676,4,8e-05
8,0.08,0.0893067,0.00178613,1,2e-05
9,0.09,0,0,0,0
10,0.1,0,0,0,0
11,0.11,0.354294,0.00708588,5,0.0001
12,0.12,0.0883359,0.00176672,2,4e-05
13,0.13,0.420483,0.00840967,6,0.00012
14,0.14,0,0,0,0
15,0.15,0.257557,0.00515114,4,8e-05
16,0.16,0.0948858,0.00189772,2,4e-05
17,0.17,0.0805544,0.00161109,2,4e-05
18,0.18,0.0859933,0.00171987,1,2e-05
19,0.19,0.0891623,0.00178325,2,4e-05
20,0.2,0.193724,0.00387448,3,6e-05
21,0.21,0.0867222,0.00173444,2,4e-05
22,0.22,0.0927802,0.0018556,2,4e-05
23,0.23,0.32088,0.00641759,5,0.0001
24,0.24,0.243024,0.00486049,3,6e-05
25,0.25,0.114296,0.00228593,2,4e-05
26,0.26,0.0967964,0.00193593,2,4e-05
27,0.27,0.18152,0.0036304,3,6e-05
28,0.28,0.222354,0.00444708,3,6e-05
29,0.29,0.284008,0.00568016,5,0.0001
30,0.3,0.441477,0.00882955,8,0.00016
31,0.31,0.109322,0.00218645,2,4e-05
32,0.32,0.0592732,0.00118546,1,2e-05
33,0.33,0.058943,0.00117886,1,2e-05
34,0.34,0,0,0,0
35,0.35,0.106649,0.00213299,2,4e-05
36,0.36,0.0997188,0.00199438,3,6e-05
37,0.37,0.131464,0.00262929,2,4e-05
38,0.38,0.283005,0.00566011,5,0.0001
39,0.39,0.248376,0.00496751,5,0.0001
40,0.4,0.300316,0.00600633,5,0.0001
41,0.41,0.202725,0.00405449,4,8e-05
42,0.42,0.178611,0.00357222,2,4e-05
43,0.43,0.271872,0.00543745,4,8e-05
44,0.44,0.324481,0.00648962,5,0.0001
45,0.45,0.256064,0.00512127,4,8e-05
46,0.46,0.0929592,0.00185918,2,4e-05
47,0.47,0,0,0,0
48,0.48,0.196033,0.00392065,4,8e-05
49,0.49,0.254881,0.00509762,4,8e-05
50,0.5,0.0657684,0.00131537,2,4e-05
51,0.51,0.0570152,0.0011403,1,2e-05
52,0.52,0.257037,0.00514073,5,0.0001
53,0.53,0.0973558,0.00194712,3,6e-05
54,0.54,0.230351,0.00460701,4,8e-05
55,0.55,0.349959,0.00699918,7,0.00014
56,0.56,0.19661,0.00393219,3,6e-05
57,0.57,0.269843,0.00539686,5,0.0001
58,0.58,0.178958,0.00357915,3,6e-05
59,0.59,0,0,0,0
60,0.6,0.346233,0.00692466,6,0.00012
61,0.61,0.0663934,0.00132787,1,2e-05
62,0.62,0.274938,0.00549876,4,8e-05
63,0.63,0.130415,0.00260831,3,6e-05
64,0.64,0.24654,0.00493079,5,0.0001
65,0.65,0.0766545,0.00153309,1,2e-05
66,0.66,0.196606,0.00393212,3,6e-05
67,0.67,0.142576,0.00285151,3,6e-05
68,0.68,0.261241,0.00522483,5,0.0001
69,0.69,0.109475,0.00218951,2,4e-05
70,0.7,0,0,0,0
71,0.71,0.287579,0.00575159,5,0.0001
72,0.72,0.0556544,0.00111309,1,2e-05
73,0.73,0.126289,0.00252579,2,4e-05
74,0.74,0.128353,0.00256706,3,6e-05
75,0.75,0.199282,0.00398563,4,8e-05
76,0.76,0.226309,0.00452617,4,8e-05
77,0.77,0.093635,0.0018727,3,6e-05
78,0.78,0.14307,0.00286139,2,4e-05
79,0.79,0.06511,0.0013022,1,2e-05
80,0.8,0.0242342,0.000484685,1,2e-05
81,0.81,0.102074,0.00204148,2,4e-05
82,0.82,0.157587,0.00315175,3,6e-05
83,0.83,0.0363313,0.000726626,1,2e-05
84,0.84,0.167123,0.00334246,4,8e-05
85,0.85,0.279615,0.0055923,5,0.0001
86,0.86,0.238602,0.00477204,3,6e-05
87,0.87,0.143056,0.00286112,3,6e-05
88,0.88,0.268983,0.00537967,6,0.00012
89,0.89,0.18431,0.0036862,4,8e-05
90,0.9,0.299386,0.00598772,4,8e-05
91,0.91,0.174861,0.00349721,3,6e-05
92,0.92,0.0436986,0.000873973,1,2e-05
93,0.93,0.187109,0.00374218,3,6e-05
94,0.94,0.321018,0.00642036,5,0.0001
95,0.95,0.0550314,0.00110063,1,2e-05
96,0.96,0.287232,0.00574463,4,8e-05
97,0.97,0.0320113,0.000640225,1,2e-05
98,0.98,0.0356051,0.000712102,1,2e-05
99,0.99,0.132076,0.00264151,2,4e-05
