# n_events=50000
neuron_index,xi,sum_edep_MeV,mean_edep_keV_per_event,primary_hit_count,primary_hit_fraction
0,0,0.179968,0.00359937,17,0.00034
1,0.01,0.195173,0.00390347,15,0.0003
2,0.02,0.188364,0.00376728,15,0.0003
3,0.03,0.202677,0.00405355,17,0.00034
4,0.04,0.255181,0.00510362,20,0.0004
5,0.05,0.105949,0.00211897,11,0.00022
6,0.06,0.163553,0.00327106,16,0.00032
7,0.07,0.160904,0.00321808,13,0.00026
8,0.08,0.155408,0.00310816,15,0.0003
9,0.09,0.172394,0.00344788,13,0.00026
10,0.1,0.325556,0.00651112,18,0.00036
11,0.11,0.21383,0.00427659,14,0.00028
12,0.12,0.208836,0.00417672,11,0.00022
13,0.13,0.395372,0.00790744,24,0.00048
14,0.14,0.187317,0.00374634,15,0.0003
15,0.15,0.250253,0.00500505,21,0.00042
16,0.16,0.209172,0.00418343,16,0.00032
17,0.17,0.236828,0.00473655,19,0.00038
18,0.18,0.22538,0.00450761,14,0.00028
19,0.19,0.215244,0.00430488,16,0.00032
20,0.2,0.166513,0.00333027,15,0.0003
21,0.21,0.206321,0.00412642,14,0.00028
22,0.22,0.37376,0.0074752,23,0.00046
23,0.23,0.188348,0.00376696,16,0.00032
24,0.24,0.234967,0.00469934,15,0.0003
25,0.25,0.122694,0.00245388,12,0.00024
26,0.26,0.200883,0.00401767,21,0.00042
27,0.27,0.0797081,0.00159416,6,0.00012
28,0.28,0.361443,0.00722885,22,0.00044
29,0.29,0.153654,0.00307308,15,0.0003
30,0.3,0.177846,0.00355692,14,0.00028
31,0.31,0.096346,0.00192692,9,0.00018
32,0.32,0.244421,0.00488842,18,0.00036
33,0.33,0.175397,0.00350794,16,0.00032
34,0.34,0.225516,0.00451033,18,0.00036
35,0.35,0.25327,0.0050654,19,0.00038
36,0.36,0.263893,0.00527786,22,0.00044
37,0.37,0.242097,0.00484195,14,0.00028
38,0.38,0.112822,0.00225644,11,0.00022
39,0.39,0.156553,0.00313105,10,0.0002
40,0.4,0.198218,0.00396435,15,0.0003
41,0.41,0.159765,0.0031953,15,0.0003
42,0.42,0.151371,0.00302742,15,0.0003
43,0.43,0.309416,0.00618832,26,0.00052
44,0.44,0.190165,0.00380329,18,0.00036
45,0.45,0.0681488,0.00136298,7,0.00014
46,0.46,0.280267,0.00560534,15,0.0003
47,0.47,0.165476,0.00330952,14,0.00028
48,0.48,0.111522,0.00223043,10,0.0002
49,0.49,0.242657,0.00485314,20,0.0004
50,0.5,0.181136,0.00362273,14,0.00028
51,0.51,0.123528,0.00247056,13,0.00026
52,0.52,0.250056,0.00500113,24,0.00048
53,0.53,0.151462,0.00302924,13,0.00026
54,0.54,0.152345,0.0030469,13,0.00026
55,0.55,0.182422,0.00364844,18,0.00036
56,0.56,0.117853,0.00235706,15,0.0003
57,0.57,0.261416,0.00522831,21,0.00042
58,0.58,0.336451,0.00672902,22,0.00044
59,0.59,0.187102,0.00374205,17,0.00034
60,0.6,0.219564,0.00439128,15,0.0003
61,0.61,0.179671,0.00359342,15,0.0003
62,0.62,0.201896,0.00403793,19,0.00038
63,0.63,0.186693,0.00373385,17,0.00034
64,0.64,0.170542,0.00341084,14,0.00028
65,0.65,0.328254,0.00656508,17,0.00034
66,0.66,0.213607,0.00427214,17,0.00034
67,0.67,0.186088,0.00372177,16,0.00032
68,0.68,0.160456,0.00320912,11,0.00022
69,0.69,0.263407,0.00526814,17,0.00034
70,0.7,0.164606,0.00329212,18,0.00036
71,0.71,0.233138,0.00466275,22,0.00044
72,0.72,0.112688,0.00225376,9,0.00018
73,0.73,0.167569,0.00335138,13,0.00026
74,0.74,0.217888,0.00435776,22,0.00044
75,0.75,0.184913,0.00369826,19,0.00038
76,0.76,0.199974,0.00399947,15,0.0003
77,0.77,0.316623,0.00633247,25,0.0005
78,0.78,0.219367,0.00438733,18,0.00036
79,0.79,0.114028,0.00228057,10,0.0002
80,0.8,0.151225,0.0030245,13,0.00026
81,0.81,0.179148,0.00358296,15,0.0003
82,0.82,0.169678,0.00339357,18,0.00036
83,0.83,0.181522,0.00363044,14,0.00028
84,0.84,0.251557,0.00503114,23,0.00046
85,0.85,0.300753,0.00601507,20,0.0004
86,0.86,0.177114,0.00354229,17,0.00034
87,0.87,0.173917,0.00347834,13,0.00026
88,0.88,0.259862,0.00519724,17,0.00034
89,0.89,0.121324,0.00242647,11,0.00022
90,0.9,0.284997,0.00569994,20,0.0004
91,0.91,0.136471,0.00272942,11,0.00022
92,0.92,0.11283,0.0022566,13,0.00026
93,0.93,0.14857,0.00297139,14,0.00028
94,0.94,0.257358,0.00514715,14,0.00028
95,0.95,0.30384,0.00607679,24,0.00048
96,0.96,0.163019,0.00326038,9,0.00018
97,0.97,0.251595,0.0050319,17,0.00034
98,0.98,0.176398,0.00352796,15,0.0003
99,0.99,0.178322,0.00356644,17,0.00034
