# n_events=50000
neuron_index,xi,sum_edep_MeV,mean_edep_keV_per_event,primary_hit_count,primary_hit_fraction
0,0,0.000741682,1.48336e-05,0,0
1,0.01,0.0633386,0.00126677,1,2e-05
2,0.02,0.00196259,3.92519e-05,0,0
3,0.03,0,0,0,0
4,0.04,0,0,0,0
5,0.05,0.00601016,0.000120203,0,0
6,0.06,0.0404954,0.000809908,1,2e-05
7,0.07,0.167983,0.00335966,1,2e-05
8,0.08,0.00269539,5.39077e-05,0,0
9,0.09,0.00223344,4.46689e-05,0,0
10,0.1,0.0060246,0.000120492,0,0
11,0.11,0.203903,0.00407807,1,2e-05
12,0.12,0.000977139,1.95428e-05,0,0
13,0.13,0.00427913,8.55827e-05,0,0
14,0.14,0,0,0,0
15,0.15,0,0,0,0
16,0.16,0.14181,0.00283621,1,2e-05
17,0.17,0,0,0,0
18,0.18,0,0,0,0
19,0.19,0.00094024,1.88048e-05,0,0
20,0.2,0,0,0,0
21,0.21,0.000900098,1.8002e-05,0,0
22,0.22,0.0937138,0.00187428,1,2e-05
23,0.23,0,0,0,0
24,0.24,0,0,0,0
25,0.25,0.223081,0.00446162,1,2e-05
26,0.26,0,0,0,0
27,0.27,0.148094,0.00296188,1,2e-05
28,0.28,0.00107148,2.14296e-05,0,0
29,0.29,0.252786,0.00505572,1,2e-05
30,0.3,0.00956235,0.000191247,0,0
31,0.31,0,0,0,0
32,0.32,0,0,0,0
33,0.33,0,0,0,0
34,0.34,0.00157687,3.15374e-05,0,0
35,0.35,0.01096,0.000219199,0,0
36,0.36,0,0,0,0
37,0.37,0,0,0,0
38,0.38,0.316351,0.00632702,1,2e-05
39,0.39,0,0,0,0
40,0.4,0,0,0,0
41,0.41,0,0,0,0
42,0.42,0,0,0,0
43,0.43,0,0,0,0
44,0.44,0.0254324,0.000508649,1,2e-05
45,0.45,0,0,0,0
46,0.46,0.0199584,0.000399167,0,0
47,0.47,0.229687,0.00459374,1,2e-05
48,0.48,0,0,0,0
49,0.49,0.0124852,0.000249703,0,0
50,0.5,0.000720245,1.44049e-05,0,0
51,0.51,0,0,0,0
52,0.52,0.00540714,0.000108143,0,0
53,0.53,0.00261778,5.23556e-05,0,0
54,0.54,0,0,0,0
55,0.55,0,0,0,0
56,0.56,0.366248,0.00732496,2,4e-05
57,0.57,0.0106413,0.000212826,0,0
58,0.58,0,0,0,0
59,0.59,0.00354826,7.09652e-05,0,0
60,0.6,0.0018833,3.7666e-05,0,0
61,0.61,0.0063886,0.000127772,0,0
62,0.62,0.169776,0.00339551,1,2e-05
63,0.63,0.00232064,4.64129e-05,0,0
64,0.64,0,0,0,0
65,0.65,0,0,0,0
66,0.66,0,0,0,0
67,0.67,0,0,0,0
68,0.68,0,0,0,0
69,0.69,0,0,0,0
70,0.7,0,0,0,0
71,0.71,0.00317187,6.34373e-05,0,0
72,0.72,0,0,0,0
73,0.73,0,0,0,0
74,0.74,0,0,0,0
75,0.75,0,0,0,0
76,0.76,0,0,0,0
77,0.77,0,0,0,0
78,0.78,0,0,0,0
79,0.79,0.00133988,2.67977e-05,0,0
80,0.8,0.00429958,8.59916e-05,0,0
81,0.81,0.00153646,3.07293e-05,0,0
82,0.82,0.216565,0.0043313,1,2e-05
83,0.83,0,0,0,0
84,0.84,0.000331391,6.62783e-06,0,0
85,0.85,0,0,0,0
86,0.86,0.008475,0.0001695,0,0
87,0.87,0,0,0,0
88,0.88,0.154299,0.00308597,1,2e-05
89,0.89,0,0,0,0
90,0.9,0.188732,0.00377465,1,2e-05
91,0.91,0.0034304,6.8608e-05,0,0
92,0.92,0.111007,0.00222014,1,2e-05
93,0.93,0,0,0,0
94,0.94,0,0,0,0
95,0.95,0.000161675,3.2335e-06,0,0
96,0.96,0,0,0,0
97,0.97,0,0,0,0
98,0.98,0.00215937,4.31875e-05,0,0
99,0.99,0,0,0,0
