# n_events=500000
neuron_index,xi,sum_edep_MeV,mean_edep_keV_per_event,primary_hit_count,primary_hit_fraction
0,0,0,0,0,0
1,0.01,0.0400587,8.01174e-05,1,2e-06
2,0.02,0.105275,0.00021055,2,4e-06
3,0.03,0.0775475,0.000155095,1,2e-06
4,0.04,0.0173548,3.47096e-05,1,2e-06
5,0.05,0,0,0,0
6,0.06,0.0178888,3.57775e-05,1,2e-06
7,0.07,0,0,0,0
8,0.08,0.0754621,0.000150924,1,2e-06
9,0.09,0,0,0,0
10,0.1,0,0,0,0
11,0.11,0,0,0,0
12,0.12,0,0,0,0
13,0.13,0,0,0,0
14,0.14,0,0,0,0
15,0.15,0,0,0,0
16,0.16,0,0,0,0
17,0.17,0,0,0,0
18,0.18,0,0,0,0
19,0.19,0,0,0,0
20,0.2,0.0159432,3.18864e-05,1,2e-06
21,0.21,0,0,0,0
22,0.22,0,0,0,0
23,0.23,0,0,0,0
24,0.24,0,0,0,0
25,0.25,0,0,0,0
26,0.26,0.0133016,2.66032e-05,1,2e-06
27,0.27,0,0,0,0
28,0.28,0,0,0,0
29,0.29,0.034724,6.94481e-05,1,2e-06
30,0.3,0,0,0,0
31,0.31,0.0101741,2.03482e-05,1,2e-06
32,0.32,0,0,0,0
33,0.33,0,0,0,0
34,0.34,0.0238447,4.76894e-05,1,2e-06
35,0.35,0,0,0,0
36,0.36,0,0,0,0
37,0.37,0,0,0,0
38,0.38,0,0,0,0
39,0.39,0,0,0,0
40,0.4,0,0,0,0
41,0.41,0,0,0,0
42,0.42,0,0,0,0
43,0.43,0.0549471,0.000109894,1,2e-06
44,0.44,0,0,0,0
45,0.45,0,0,0,0
46,0.46,0,0,0,0
47,0.47,0,0,0,0
48,0.48,0,0,0,0
49,0.49,0,0,0,0
50,0.5,0,0,0,0
51,0.51,0,0,0,0
52,0.52,0,0,0,0
53,0.53,0,0,0,0
54,0.54,0,0,0,0
55,0.55,0,0,0,0
56,0.56,0,0,0,0
57,0.57,0,0,0,0
58,0.58,0,0,0,0
59,0.59,0,0,0,0
60,0.6,0,0,0,0
61,0.61,0,0,0,0
62,0.62,0,0,0,0
63,0.63,0,0,0,0
64,0.64,0.0156321,3.12642e-05,1,2e-06
65,0.65,0,0,0,0
66,0.66,0,0,0,0
67,0.67,0.0468283,9.36566e-05,1,2e-06
68,0.68,0.0217632,4.35264e-05,1,2e-06
69,0.69,0.0553878,0.000110776,1,2e-06
70,0.7,0,0,0,0
71,0.71,0,0,0,0
72,0.72,0.0873106,0.000174621,1,2e-06
73,0.73,0,0,0,0
74,0.74,0,0,0,0
75,0.75,0.0191711,3.83422e-05,1,2e-06
76,0.76,0,0,0,0
77,0.77,0,0,0,0
78,0.78,0,0,0,0
79,0.79,0,0,0,0
80,0.8,0,0,0,0
81,0.81,0.0235496,4.70992e-05,1,2e-06
82,0.82,0,0,0,0
83,0.83,0,0,0,0
84,0.84,0.0667219,0.000133444,1,2e-06
85,0.85,0,0,0,0
86,0.86,0.0462497,9.24995e-05,1,2e-06
87,0.87,0.00856414,1.71283e-05,1,2e-06
88,0.88,0,0,0,0
89,0.89,0.0142269,2.84537e-05,1,2e-06
90,0.9,0,0,0,0
91,0.91,0,0,0,0
92,0.92,0,0,0,0
93,0.93,0,0,0,0
94,0.94,0,0,0,0
95,0.95,0.0536854,0.000107371,1,2e-06
96,0.96,0,0,0,0
97,0.97,0.0504554,0.000100911,1,2e-06
98,0.98,0,0,0,0
99,0.99,0,0,0,0
