# n_events=50000
neuron_index,xi,sum_edep_MeV,mean_edep_keV_per_event,primary_hit_count,primary_hit_fraction
0,0,0,0,0,0
1,0.01,0,0,0,0
2,0.02,0,0,0,0
3,0.03,0.00664436,0.000132887,1,2e-05
4,0.04,0,0,0,0
5,0.05,0,0,0,0
6,0.06,0,0,0,0
7,0.07,0,0,0,0
8,0.08,0.00381983,7.63966e-05,1,2e-05
9,0.09,0,0,0,0
10,0.1,0,0,0,0
11,0.11,0,0,0,0
12,0.12,0,0,0,0
13,0.13,0,0,0,0
14,0.14,0,0,0,0
15,0.15,0,0,0,0
16,0.16,0,0,0,0
17,0.17,0.00339944,6.79888e-05,1,2e-05
18,0.18,0,0,0,0
19,0.19,0,0,0,0
20,0.2,0,0,0,0
21,0.21,0,0,0,0
22,0.22,0,0,0,0
23,0.23,0,0,0,0
24,0.24,0,0,0,0
25,0.25,0,0,0,0
26,0.26,0,0,0,0
27,0.27,0,0,0,0
28,0.28,0,0,0,0
29,0.29,0,0,0,0
30,0.3,0,0,0,0
31,0.31,0.0131689,0.000263378,2,4e-05
32,0.32,0,0,0,0
33,0.33,0,0,0,0
34,0.34,0,0,0,0
35,0.35,0,0,0,0
36,0.36,0.00171474,3.42948e-05,0,0
37,0.37,0,0,0,0
38,0.38,0,0,0,0
39,0.39,0,0,0,0
40,0.4,0.00264436,5.28872e-05,1,2e-05
41,0.41,0.0010649,2.12979e-05,1,2e-05
42,0.42,0.00320302,6.40605e-05,1,2e-05
43,0.43,0,0,0,0
44,0.44,0,0,0,0
45,0.45,0,0,0,0
46,0.46,0.00597196,0.000119439,1,2e-05
47,0.47,0,0,0,0
48,0.48,0,0,0,0
49,0.49,0.00176442,3.52883e-05,1,2e-05
50,0.5,0.00652274,0.000130455,1,2e-05
51,0.51,0,0,0,0
52,0.52,0,0,0,0
53,0.53,0.00239928,4.79856e-05,1,2e-05
54,0.54,0,0,0,0
55,0.55,0,0,0,0
56,0.56,0,0,0,0
57,0.57,0,0,0,0
58,0.58,0.00316069,6.32137e-05,1,2e-05
59,0.59,0,0,0,0
60,0.6,0,0,0,0
61,0.61,0.00357055,7.14111e-05,1,2e-05
62,0.62,0,0,0,0
63,0.63,0.00289465,5.78931e-05,1,2e-05
64,0.64,0,0,0,0
65,0.65,0,0,0,0
66,0.66,0,0,0,0
67,0.67,0,0,0,0
68,0.68,0,0,0,0
69,0.69,0,0,0,0
70,0.7,0,0,0,0
71,0.71,0,0,0,0
72,0.72,0,0,0,0
73,0.73,0,0,0,0
74,0.74,0,0,0,0
75,0.75,0,0,0,0
76,0.76,0,0,0,0
77,0.77,0,0,0,0
78,0.78,0,0,0,0
79,0.79,0,0,0,0
80,0.8,0,0,0,0
81,0.81,0,0,0,0
82,0.82,0,0,0,0
83,0.83,0,0,0,0
84,0.84,0.0041728,8.34559e-05,1,2e-05
85,0.85,0.00311272,6.22544e-05,0,0
86,0.86,0,0,0,0
87,0.87,0,0,0,0
88,0.88,0,0,0,0
89,0.89,0,0,0,0
90,0.9,0,0,0,0
91,0.91,0.0240727,0.000481454,2,4e-05
92,0.92,0,0,0,0
93,0.93,0,0,0,0
94,0.94,0.00649894,0.000129979,1,2e-05
95,0.95,0,0,0,0
96,0.96,0,0,0,0
97,0.97,0,0,0,0
98,0.98,0,0,0,0
99,0.99,0.0044211,8.8422e-05,1,2e-05
